Port,Port ID,Year,Number of Cranes,Number of Records
Anchorage,4816,2016,3,1
Baltimore,700,2016,15,1
Boston,149,2016,6,1
Charleston,773,2016,16,1
Honolulu,4420,2016,10,1
Houston,2031,2016,23,1
Jacksonville,2017,2016,17,1
Long Beach,4110,2016,72,1
Los Angeles,4120,2016,83,1
Miami,2164,2016,13,1
Mobile,2005,2016,2,1
New Orleans,2251,2016,6,1
New York & New Jersey,398,2016,70,1
Oakland,4344,2016,25,1
Philadelphia,552,2016,6,1
Port Everglades,1911,2016,9,1
San Juan,1913,2016,11,1
Savannah,776,2016,26,1
Seattle,4722,2016,22,1
Tacoma,4720,2016,26,1
Virginia,5700,2016,28,1
Wilmington (DE),554,2016,2,1
Wilmington (NC),766,2016,6,1
Anchorage,4816,2018,3,1
Baltimore,700,2018,15,1
Boston,149,2018,6,1
Charleston,773,2018,17,1
Gulfport,2083,2018,3,1
Honolulu,4420,2018,13,1
Houston,2031,2018,27,1
Jacksonville,2017,2018,20,1
Long Beach,4110,2018,69,1
Los Angeles,4120,2018,83,1
Miami,2164,2018,13,1
Mobile,2005,2018,4,1
New Orleans,2251,2018,6,1
New York & New Jersey,398,2018,76,1
Oakland,4344,2018,25,1
Philadelphia,552,2018,12,1
Port Everglades,1911,2018,9,1
San Juan,1913,2018,14,1
Savannah,776,2018,26,1
Seattle,4722,2018,21,1
Tacoma,4720,2018,42,1
Virginia,5700,2018,32,1
Wilmington (DE),554,2018,4,1
Wilmington (NC),766,2018,9,1
Wilmington (NC),766,2019,12,1
Wilmington (DE),554,2019,6,1
Tacoma,4720,2019,43,1
Seattle,4722,2019,22,1
Savannah,776,2019,36,1
San Juan,1913,2019,6,1
Port Everglades,1911,2019,10,1
Philadelphia,552,2019,12,1
Oakland,4344,2019,43,1
New Orleans,2251,2019,12,1
Mobile,2005,2019,8,1
Miami,2164,2019,10,1
Los Angeles,4120,2019,133,1
Long Beach,4110,2019,89,1
Jacksonville,2017,2019,38,1
Houston,2031,2019,45,1
Honolulu,4420,2019,17,1
Gulfport,2083,2019,6,1
Charleston,773,2019,23,1
Boston,149,2019,12,1
Baltimore,700,2019,26,1
Anchorage,4816,2019,0,1